,name,header,image,bio
1405,Esteban Vicente,Esteban Vicente,/wiki/File:Esteban_Vicente_-_Red_Field_-_1972.jpg,"['Esteban Vicente Pérez (January 20, 1903 – January 10, 2001) was an American painter born in Turégano, Spain. He was one of the first generation of New York School abstract expressionists.[2]\n']"
1406,Larry Poons,Larry Poons,"/wiki/File:Untitled_painting_by_Larry_Poons,_ca.1964.jpg","[""Lawrence Poons (born October 1, 1937), better known as Larry Poons, is an abstract painter who was born in Tokyo, Japan.  He studied from 1955 to 1957 at the New England Conservatory of Music, with the intent of becoming a professional musician. After seeing Barnett Newman's exhibition at French and Company in 1959, Poons gave up musical composition[2] and enrolled at the School of the Museum of Fine Arts, Boston. He also studied at the Art Students League of New York. Poons taught at The Art Students League from 1966–1970 and currently teaches at the League (since 1997).[3]\n""]"
1407,Gene Davis,Gene Davis,/wiki/File:Disambig_gray.svg,['Gene or Eugene Davis may refer to:\n']
1408,Gandy Brodie,Gandy Brodie,unfound,"['Gandy Brodie (May 20, 1924 - October 22, 1975) was an American painter working primarily in New York City and Townshend, Vermont during the middle part of the 20th century.[1]  He had ties to Abstract Expressionism through artists such as Willem de Kooning and his style, though singular, was considered second-generation Abstract Expressionism.[2] His paintings were influenced by the works of artists such as Camille Corot, Paul Cezanne, Vincent van Gogh, Piet Mondrian, Chaim Soutine, Georges Rouault, Pablo Picasso, and Paul Klee. Shane Brody, his only child, is a jazz and Americana guitarist who resides in Underhill, Vermont.\n']"
1409,Sally Hazel Drummond,Sally Hazel Drummond,/wiki/File:Wiktionary-logo-v2.svg,['Other reasons this message may be displayed:\n']
1410,Pavel Tchelitchew,Pavel Tchelitchew,/wiki/File:Tchelitchew.jpg,"['Pavel Fyodorovich Tchelitchew (Russian: Па́вел Фёдорович Чели́щев) (21 September 1898, Dubrovka,[1] near Moscow – 31 July 1957, Rome) was a Russian-born surrealist painter, set designer and costume designer. \n']"
1411,Kenneth Noland,Kenneth Noland,/wiki/File:Kenneth_Noland.jpg,"[""Kenneth Noland (April 10, 1924 – January 5, 2010) was an American painter. He was one of the best-known American Color Field painters, although in the 1950s he was thought of as an abstract expressionist and in the early 1960s he was thought of as a minimalist painter. Noland helped establish the Washington Color School movement. In 1977, he was honored by a major retrospective at the Solomon R. Guggenheim Museum in New York that then traveled to the Hirshhorn Museum and Sculpture Garden in Washington, D.C. and Ohio's Toledo Museum of Art in 1978. In 2006, Noland's Stripe Paintings were exhibited at the Tate in London.\n""]"
1412,Dan Christensen,Dan Christensen,unfound,"['Dan Christensen, (October 6, 1942 – January 20, 2007) was an American abstract painter \nHe is best known for paintings that relate to Lyrical Abstraction,[1] Color field painting and Abstract expressionism.[2]\n']"
1413,Ludwig Sander,Ludwig Sander,/wiki/File:Wiktionary-logo-v2.svg,['Other reasons this message may be displayed:\n']
1414,Jack Whitten,Jack Whitten,unfound,"['Jack Whitten (December 5, 1939 – January 20, 2018)[1] was an American painter and sculptor. In 2016, he was awarded a National Medal of Arts.[2][3]\n']"
1415,Jules Olitski,Jules Olitski,unfound,"['Jevel Demikovski (March 27, 1922 – February 4, 2007), known professionally as Jules Olitski, was an American painter, printmaker, and sculptor.\n']"
1416,Barnett Newman,Barnett Newman,/wiki/File:Barnett_Newman.jpg,"['Barnett Newman (January 29, 1905 – July 4, 1970) was an American artist. He is seen as one of the major figures in abstract expressionism and one of the foremost of the color field painters. His paintings are existential in tone and content, explicitly composed with the intention of communicating a sense of locality, presence, and contingency.[1]\n']"
1417,James Brooks,James Brooks,/wiki/File:Disambig_gray.svg,"['James, Jim, or Jimmy Brooks may refer to:\n']"
1418,Adolph Gottlieb,Adolph Gottlieb,/wiki/File:Question_book-new.svg,"['Adolph Gottlieb (March 14, 1903 – March 4, 1974) was an American abstract expressionist painter, sculptor and printmaker.[1]\n']"
1419,Willem De Kooning,Willem de Kooning,/wiki/File:Willem_de_Kooning_in_his_studio.jpg,"['Willem de Kooning (/də ˈkuːnɪŋ/;[3] Dutch:\xa0[ˈʋɪləm də ˈkoːnɪŋ]; April 24, 1904 – March 19, 1997) was a Dutch-American abstract expressionist artist. He was born in Rotterdam and moved to the United States in 1926, becoming an American citizen in 1962.[4] In 1943, he married painter Elaine Fried.\n']"
1420,Milton Avery,Milton Avery,unfound,"['Milton Clark Avery (March 7, 1885[1] – January 3, 1965[2] ) was an American modern painter. Born in Altmar, New York, he moved to Connecticut in 1898 and later to New York City.\n', 'Archives of American Art\n']"
1421,Maxwell Hendler,Maxwell Hendler,unfound,"['Maxwell Hendler (born 1938) is an American painter.   In 1975, he became the first contemporary artist to have pictures in the collection of the Metropolitan Museum of Art in New York .[1]\n', '2008\n', '2001\n', '2000\n', '1999 Size Matters, Patricia Faure Gallery, Painting: Fore and Aft, ACME, Los Angeles, CA\n', '1998 Hendler/Kraal/Thurston, Hunsaker/Schlesinger Fine Art, Santa Monica, CA, Double Trouble: The Patchett Collection, Museum of Contemporary Art, San Diego, La Jolla, CA\n', '1997 Some Lust, Patricia Faure Gallery, Painting Beyond the Idea, Curated by Bennett Roberts. Manny Silverman Gallery,\n', '1996 Seven Strangers, Patricia Faure Gallery, Red Painting, Newspace, Los Angeles, CA Fifteen Artists, Patricia Faure Gallery,\n', '1995 Murder, Curated by John Yau, Thread Waxing Space, New York, NY and Bergamot Station Arts Center, Santa Monica, CA, Very Visual Dialogue, Rancho Santiago College, Santa Ana, CA\n', '1994\n', '1991 Art-Over-the Sofa, Curated by Jan Butterfield, Boritzer/Gray, Los Angeles, CA, Not on Canvas, Asher/Faure,\n', '1990 Group Show, Asher Faure Gallery,  Hollywoodland, fiction/nonfiction, New York, NY, California A-Z and Return, Butler Institute of American Art, Youngstown, OH\n', '1987 Reduced Scale, Rio Hondo College, Whittier, CA, Industrial Icons: Painting, Photography and Sculpture, University Art Gallery, San Diego State University, San Diego, CA.\n', '1986\n', '1985\n', '1984\n', '1983\n', '1980\n', '1978\n', '1976\n', '1971\n', '1970\n', '1969\n', '1966\n', '1998\n', '1993\n', '1985\n']"
1422,Richard Hennessy,Richard Hennessy,/wiki/File:Richardhennessy1724-1800.jpg,"['Richard Hennessy (Irish: Ristéard Ó h-Aonghusa; 1724 — 8 October 1800) was an Irish military officer and businessman, best known for founding the Hennessy cognac dynasty, which is today a luxury brand and one of the most prominent in the world. Hennessy was from County Cork, Ireland, and, due to his Jacobite political tendencies, went into exile in France, eventually serving in the French Army.\n']"
1423,N C Wyeth,N. C. Wyeth,/wiki/File:NC_Wyeth_ca1920.jpg,"['Newell Convers Wyeth (October 22, 1882 – October 19, 1945), known as N. C. Wyeth, was an American artist and illustrator. He was the pupil of artist Howard Pyle and became one of America\'s greatest illustrators.[1] During his lifetime, Wyeth created more than 3,000 paintings and illustrated 112 books,[2] 25 of them for Scribner\'s, the Scribner Classics, which is the work for which he is best known.[1] The first of these, Treasure Island, was one of his masterpieces and the proceeds paid for his studio. Wyeth was a realist painter at a time when the camera and photography began to compete with his craft.[3] Sometimes seen as melodramatic, his illustrations were designed to be understood quickly.[4] Wyeth, who was both a painter and an illustrator, understood the difference, and said in 1908, ""Painting and illustration cannot be mixed—one cannot merge from one into the other.""[3]\n']"
1424,Hans Hofmann,Hans Hofmann,/wiki/File:Hans_Hofmann_Effervescence_1944.jpg,"[""Hans Hofmann (March 21, 1880 – February 17, 1966) was a German-born American painter, renowned as both an artist and teacher. His career spanned two generations and two continents, and is considered to have both preceded and influenced Abstract Expressionism.[1] Born and educated near Munich, he was active in the early twentieth-century European avant-garde and brought a deep understanding and synthesis of Symbolism, Neo-impressionism, Fauvism, and Cubism when he emigrated to the United States in 1932.[2] Hofmann's painting is characterized by its rigorous concern with pictorial structure and unity, spatial illusionism, and use of bold color for expressive means.[3][4] The influential critic Clement Greenberg considered Hofmann's first New York solo show at Peggy Guggenheim’s Art of This Century in 1944 (along with Jackson Pollock’s in late 1943) as a breakthrough in painterly versus geometric abstraction that heralded abstract expressionism.[5] In the decade that followed, Hofmann's recognition grew through numerous exhibitions, notably at the Kootz Gallery, culminating in major retrospectives at the Whitney Museum of American Art (1957) and Museum of Modern Art (1963), which traveled to venues throughout the United States, South America, and Europe.[6] His works are in the permanent collections of major museums around the world, including the Metropolitan Museum of Art, Tate Modern, Germanisches Nationalmuseum, National Gallery of Art, and Art Institute of Chicago.[6]\n""]"
1425,Alexander Liberman,Alexander Liberman,/wiki/File:Alexander_liberman_photo.jpg,"['Alexander Semeonovitch Liberman (September 4, 1912 – November 19, 1999) was a Russian-American magazine editor, publisher, painter, photographer, and sculptor. He held senior artistic positions during his 32 years at Condé Nast Publications.\n']"
1426,Karl Knaths,Karl Knaths,"/wiki/File:Karl_Knaths,_1930.jpg","['Karl Knaths (October 21, 1891 – March 9, 1971) was an American artist whose personal approach to the Cubist aesthetic led him to create paintings which, while abstract, contained readily identifiable subjects. In addition to the Cubist painters, his work shows influence by Paul Cézanne, Wassily Kandinsky, Utagawa Kuniyoshi, Paul Klee, Stuart Davis, and Agnes Weinrich. It is nonetheless, in use of heavy line, rendering of depth, disciplined treatment of color, and architecture of planes, distinctly his own.[7][9][10][11]\n']"
1427,Charles Picco,Charles Picco,/wiki/File:Wiktionary-logo-v2.svg,['Other reasons this message may be displayed:\n']
1428,Ilya Bolotowsky,Ilya Bolotowsky,/wiki/File:Archives_of_American_Art_-_Ilya_Bolotowsky_-_3143_CROPPED.jpg,"['Ilya Bolotowsky (July 1, 1907\xa0– November 22, 1981) was a leading early 20th-century Russian-American painter in abstract styles in New York City. His work, a search for philosophical order through visual expression, embraced cubism and geometric abstraction and was much influenced by Dutch painter Piet Mondrian.\n']"
1429,Alfred Munnings,Alfred Munnings,/wiki/File:AlfredMunnings_by_HaroldKnight.jpg,"[""Sir Alfred James Munnings, KCVO, PRA (8 October 1878 – 17 July 1959) was known as one of England's finest painters of horses, and as an outspoken critic of Modernism. Engaged by Lord Beaverbrook's Canadian  War Memorials Fund, he earned several prestigious commissions after the Great War that made him wealthy.\n""]"
1430,Gwen John,Gwen John,/wiki/File:Gwen_John.jpg,"['Gwendolen Mary John (22 June 1876 – 18 September 1939) was a Welsh artist who worked in France for most of her career. Her paintings, mainly portraits of anonymous female sitters, are rendered in a range of closely related tones. Although she was overshadowed during her lifetime by her brother Augustus John and her lover Auguste Rodin[1], her reputation has grown steadily since her death.\n']"
1431,Al Held,Al Held,"/wiki/File:%27Untitled%27_by_Al_Held,_1964,_Honolulu_Museum_of_Art.jpg","['Al Held (October 12, 1928 – July 27, 2005) was an American Abstract expressionist painter. He was particularly well known for his large scale Hard-edge paintings.[1] As an artist, multiple stylistic changes occurred throughout his career, however, none of these occurred at the same time as any popular emerging style or acted against a particular art form.[2] In the 1950s his style reflected the abstract expressionist tone and then transitioned to a geometric style in the 60s.  During the 1980s there was a shift into painting that emphasized bright geometric space that’s deepness reflected infinity.[3] From 1963 to 1980 he was a professor of art at Yale University.[4]\n']"
1432,Fairfield Porter,Fairfield Porter,"/wiki/File:Fairfield_Porter%27s_painting_%27Under_the_Elms%27,_1971_-_1972.jpg","['Fairfield Porter (June 10, 1907 – September 18, 1975) was an American painter and art critic.[1] He was the fourth of five children of James Porter, an architect, and Ruth Furness Porter, a poet from a literary family.[2]  He was the brother of photographer Eliot Porter and the brother-in-law of federal Reclamation Commissioner Michael W. Straus.\n']"
1433,Walter Darby Bannard,Walter Darby Bannard,unfound,"['Walter Darby Bannard (September 23, 1934 – October 2, 2016) was an American abstract painter.\n']"
1434,Morris Louis,Morris Louis,unfound,"['Morris Louis Bernstein (November 28, 1912 – September 7, 1962), known professionally as Morris Louis, was an American painter. During the 1950s he became one of the earliest exponents of Color Field painting. While living in Washington, D.C., Louis, along with Kenneth Noland and other Washington painters, formed an art movement that is known today as the Washington Color School.[2]\n']"
1435,Arthur B Carles,Arthur B Carles,/wiki/File:Wiktionary-logo-v2.svg,['Other reasons this message may be displayed:\n']
1436,Ad Reinhardt,Ad Reinhardt,/wiki/File:Ad_Reinhardt.jpg,"['Adolph Frederick ""Ad"" Reinhardt (December 24, 1913\xa0–\xa0August 30, 1967) was an abstract painter active in New York beginning in the 1930s and continuing through the 1960s. He was a member of the American Abstract Artists and was a part of the movement centered on the Betty Parsons Gallery that became known as abstract expressionism. He was also a member of The Club, the meeting place for the New York School abstract expressionist artists during the 1940s and 1950s.[1] He wrote and lectured extensively on art and was a major influence on conceptual art, minimal art and monochrome painting. Most famous for his ""black"" or ""ultimate"" paintings, he claimed to be painting the ""last paintings"" that anyone can paint. He believed in a philosophy of art he called Art-as-Art and used his writing and satirical cartoons to advocate for abstract art and against what he described as ""the disreputable practices of artists-as-artists"".\n']"
1437,Alice Trumbull Mason,Alice Mason,unfound,"['Alice Trumbull Mason (1904–1971) was an American abstract painter. She was descended from renowned history painter John Trumbull through her father. She travelled throughout Europe when she was young. Beginning in 1921, she studied art in Rome, attending the British Academy in 1923. She settled in New York by 1927 and was influenced by early abstract artist Arshile Gorky. She also studied with Charles Webster Hawthorne at the National Academy of Design in New York where she befriended artists Esphyr Slobodkina and Ilya Bolotowsky.[1] While her earlier works were biomorphic or pure abstraction, her knowledge of Byzantine architecture later infused her compositions with an architectural dimension.[2] She continued her studies at the Grand Central Art Galleries until 1931.[1] She later wrote that she became devoted to abstraction in 1929, ""[A]fter happily painting these realistic things, I said to myself, \'What do I really know?\' I knew the shape of my canvas and the use of my colors and I was completely joyful not to be governed by representing things anymore.""[3]\n']"
1438,John Mclaughlin,John McLaughlin,/wiki/File:Disambig_gray.svg,['John or Jon McLaughlin may refer to:\n']
1439,Bob Thompson,Robert Thompson,/wiki/File:Disambig_gray.svg,['Robert or Bob Thompson may refer to:\n']
1440,Clyfford Still,Clyfford Still,/wiki/File:Clyfford_Still.jpg,"['Clyfford Still (November 30, 1904 – June 23, 1980) was an American painter, and one of the leading figures in the first generation of Abstract Expressionists, who developed a new, powerful approach to painting in the years immediately following World War II. Still has been credited with laying the groundwork for the movement, as his shift from representational to abstract painting occurred between 1938 and 1942, earlier than his colleagues like Jackson Pollock and Mark Rothko, who continued to paint in figurative-surrealist styles well into the 1940s.[1]\n']"
1441,Andy Warhol,Andy Warhol,/wiki/File:Andy_Warhol_1975.jpg,"[""Andy Warhol (/ˈwɔːrhɒl/;[1] born Andrew Warhola; August 6, 1928\xa0– February 22, 1987) was an American artist, director, and producer who was a leading figure in the visual art movement known as pop art. His works explore the relationship between artistic expression, advertising, and celebrity culture that flourished by the 1960s, and span a variety of media, including painting, silkscreening, photography, film, and sculpture. Some of his best known works include the silkscreen paintings Campbell's Soup Cans (1962) and Marilyn Diptych (1962), the experimental film Chelsea Girls (1966), and the multimedia events known as the Exploding Plastic Inevitable (1966–67).\n""]"
1442,Jean Dewasne,Jean Dewasne,/wiki/File:Wiktionary-logo-v2.svg,['Other reasons this message may be displayed:\n']
1443,William Baziotes,William Baziotes,/wiki/File:William_Baziotes.jpg,"['William Baziotes (June 11, 1912 – June 6, 1963) was an American painter influenced by Surrealism and was a contributor to Abstract Expressionism.\n']"
1444,David Budd,David Budd,/wiki/File:Wiktionary-logo-v2.svg,['Other reasons this message may be displayed:\n']
1445,Frank Auerbach,Frank Auerbach,/wiki/File:Frank_Auerbach.jpg,"['Frank Helmut Auerbach (born 29 April 1931) is a German-British painter. Born in Germany, he has been a naturalised British citizen since 1947.[1]\n']"
1446,Jane Wilson,Jane Wilson,/wiki/File:Wilson_Green_Twilight.jpg,"['Jane Wilson (April 29, 1924 – January 13, 2015) was an American painter associated with both landscape painting and expressionism. She lived and worked in New York City and Watermill, New York.\n']"
1447,Jane Freilicher,Jane Freilicher,/wiki/File:Jane_Freilicher_-_Champion_Flowers_-_1999.jpg,"['Jane Freilicher (November 29, 1924 – December 9, 2014) was an American representational painter of urban and country scenes from her homes in lower Manhattan and Water Mill, Long Island. She was a member of the informal New York School beginning in the 1950s, and a muse to several of its poets and writers.\n']"
1448,Nell Blaine,Nell Blaine,/wiki/File:Photograph_of_Nell_Blaine.jpg,"['Nell Blair Walden Blaine (July 10, 1922 in Richmond, VA – November 14, 1996 in New York City) was an American landscape painter, expressionist, and watercolorist.[1]\n', '1998\n', '1987\n', '1985\n', '1973\n', '1960\n', '1948\n', '1945\n']"
1449,Philip Pearlstein,Philip Pearlstein,"/wiki/File:Male_and_Female_Nudes_with_Red_and_Purple_Drape,_by_Philip_Pearlstein,_1968_from_Hirschhorn_Museum_72.226.jpg","['Philip Pearlstein is an American painter best known for Modernist Realism nudes.[1] Cited by critics as the preeminent figure painter of the 1960s to 2000s,[2][3][4][5] he led a revival in realist art.[6][7] He is a Distinguished Professor Emeritus with paintings in the collections of over 70 public art museums.\n']"
1450,Paul Delvaux,Paul Delvaux,/wiki/File:Paul_Delvaux_28_Janvier_1972.jpg,"['Paul Delvaux (French:\xa0[dɛlvo]; 23 September 1897 – 20 July 1994) was a Belgian painter noted for his dream-like scenes of women, classical architecture, trains and train stations, and skeletons, often in combination. He is often considered a surrealist[1], although he only briefly identified with the Surrealist movement. He was influenced by the works of Giorgio de Chirico.\n']"
1451,John Day,John Day,/wiki/File:Disambig_gray.svg,"['John Day, John Daye or Jon Day may refer to:\n']"
1452,Joseph Hirsch,Joseph Hirsch,/wiki/File:JosephHirsch_1959_Juley%26Son_Collection_SAAM_J0001699.jpg,"[""Joseph Hirsch (1910–1981) was an American painter, illustrator, muralist and teacher. Social commentary was the backbone of Hirsch's art, especially works depicting civic corruption and racial injustice.[1]\n""]"
1453,Hale Woodruff,Hale Woodruff,/wiki/File:Hale_Woodruff.gif,"['Hale Aspacio Woodruff (August 26, 1900 - September 6, 1980) was an African-American artist known for his murals, paintings, and prints.\n']"
1454,Larry Zox,Larry Zox,unfound,"['Lawrence ""Larry"" Zox (May 31, 1937 – December 16, 2006) was an American painter and printmaker who is classified as an Abstract expressionist, Color Field painter and a Lyrical Abstractionist, although he did not readily use those categories for his work.\n']"
1455,Robert Kulicke,Robert Kulicke,unfound,"['Robert Moore Kulicke (1924 – December 14, 2007) was an American artist, frame maker, and teacher. Though most influential for modernizing the design of picture frames, he was also a noted painter of small and delicate still lifes, as well as a jewellery maker credited with reviving the ancient goldsmithing technique of granulation.[1]\n']"
1456,Clifford Ross,Clifford Ross,/wiki/File:Clifford_Ross_2011_Shankbone.JPG,"['Clifford Ross (born October 15, 1952) is an American artist who has worked in multiple forms of media, including sculpture, painting, photography and video. His work is in the collections of the Museum of Modern Art, the J. Paul Getty Museum, the Metropolitan Museum of Art, the Whitney Museum of American Art, the Museum of Fine Arts, Houston, and the Philadelphia Museum of Art.[1]\n']"
1457,Alex Katz,Alex Katz,unfound,"['Alex Katz born July 24, 1927, is an American figurative artist known for his paintings, sculptures, and prints. He is represented by numerous galleries internationally.\n']"
1458,Gertrude Glas Greene,Gertrude Glas Greene,/wiki/File:Wiktionary-logo-v2.svg,['Other reasons this message may be displayed:\n']
1459,William Nicholson,William Nicholson,/wiki/File:Disambig_gray.svg,['William Nicholson may refer to:\n']
1460,Neil Welliver,Neil Welliver,/wiki/File:Question_book-new.svg,[]
1461,I J Belmont,I J Belmont,/wiki/File:Wiktionary-logo-v2.svg,['Other reasons this message may be displayed:\n']
1462,Wolf Kahn,Wolf Kahn,unfound,"['Wolf Kahn (born October 4, 1927) is a German-born American painter.\n']"
1463,Sam Gilliam,Sam Gilliam,"/wiki/File:Sam_Gilliam_speaking,_2018.png","['Sam Gilliam (/ˈɡɪliəm/ GHIL-ee-əm; born November 30, 1933) is a color field painter and lyrical abstractionist artist. Gilliam, an African American, is associated with the Washington Color School,[1] a group of Washington, D.C. area artists that developed a form of abstract art from color field painting in the 1950s and 1960s. His works have also been described as belonging to abstract expressionism and lyrical abstraction.[2] He works on stretched, draped and wrapped canvas, and adds sculptural 3D elements. He is recognized as the first artist to introduce the idea of a draped, painted canvas hanging without stretcher bars around 1965. This was a major contribution to the Color Field School.[3]\n', 'Solar Canopy, 1986[27] ', 'Jamaica Center Station Riders, Blue, 1991\n']"
1464,William Zorach,William Zorach,/wiki/File:William_Zorach-by-Man_Ray.jpg,"['William Zorach (February 28, 1889 – November 15, 1966)[1] was a Lithuanian-born American sculptor, painter, printmaker, and writer. He won the Logan Medal of the arts. He is notable for being at the forefront of American Artists embracing cubism, as well as for his sculpture.\n', 'Zorach Gorfinkel was born in 1889 into a Lithuanian Jewish family, the son of a barge owner[2], in Jurbarkas (Russian: Eurburg) in Lithuania (then a part of the Russian Empire) As the eighth of ten children, Zorach (then his given name) emigrated with his family to the United States in 1894. They settled in Cleveland, Ohio under the name ""Finkelstein"". In school, his first name was changed to ""William"" by a teacher. Zorach stayed in Ohio for almost 15 years pursuing his artistic endeavors. He apprenticed with a lithographer as a teenager and went on to study painting with Henry G. Keller in night school at the Cleveland School of Art from 1905 to 1907[3]. In 1908, Zorach moved to New York in enroll in the National Academy of Design.[4] In 1910, Zorach moved to Paris with Cleveland artist and lithographer, Elmer Brubeck, to continue his artistic training at the La Palette art school.[5]\n']"
1465,Marguerite Zorach,Marguerite Zorach,"/wiki/File:Marguerite_Zorach,_American_painter_and_printmaker,_1887-1968,_in_her_studio_(cropped).jpg","['Marguerite Zorach (née Thompson; September 25, 1887 – June 27, 1968) was an American Fauvist painter, textile artist, and graphic designer, and was an early exponent of modernism in America. She won the 1920 Logan Medal of the Arts.[1]\n']"
1466,Thom Lanigan-Schmidt,Thom Lanigan-Schmidt,/wiki/File:Wiktionary-logo-v2.svg,['Other reasons this message may be displayed:\n']
1467,Meraud Guevara,Meraud Guevara,/wiki/File:Wiktionary-logo-v2.svg,['Other reasons this message may be displayed:\n']
1468,Frederick J Brown,Frederick J Brown,/wiki/File:Wiktionary-logo-v2.svg,['Other reasons this message may be displayed:\n']
1469,Charles Seliger,Charles Seliger,unfound,"['Charles Seliger (June 3, 1926 – October 1, 2009) was an American abstract expressionist painter. He was born in Manhattan June 3, 1926, and he died on 1 October 2009, in Westchester County, New York.[1] Seliger was one of the original generation of abstract expressionist painters connected with the New York School.[2]\n']"
1470,Lee Gatch,Lee Gatch,unfound,"['Harry Lee Gatch (September 10, 1902 – November 10, 1968),[1] was a twentieth-century American artist known for his lyrical abstractions and his ability to find ""a fresh approach"" to painting the figure and nature ""through interwoven patterns of flattened figures"" and a Fauvist-inspired sense of landscape.[2]\n']"
1471,Raphael Soyer,Raphael Soyer,unfound,"[""Raphael Soyer (December 25, 1899 – November 4, 1987) was a Russian-born American painter, draftsman, and printmaker. Soyer was referred to as an American scene painter. He is identified as a Social Realist because of his interest in men and women viewed in contemporary settings which included the streets, subways, salons and artists' studios of New York City. He also wrote several books on his life and art.\n""]"
1472,Jim Dine,Jim Dine,/wiki/File:2008-05-16-Boras-Sweden-Jim-Dine-Pinocchio-Photo-by-David-Thast.-Diform.jpg,"['Jim Dine (born June 16, 1935) is an American pop artist. He is sometimes considered to be a part of the Neo-Dada movement.\n']"
1473,Francois Rouan,Francois Rouan,/wiki/File:Wiktionary-logo-v2.svg,['Other reasons this message may be displayed:\n']
1474,Audrey Flack,Audrey Flack,/wiki/File:Audrey_Flack.JPG,"['Audrey L. Flack (born May 30, 1931) is an American artist. Her work pioneered the art genre of photorealism; her work encompasses painting, sculpture, and photography.\n']"
1475,Jean Isy de Botton,Jean Isy de Botton,/wiki/File:Wiktionary-logo-v2.svg,['Other reasons this message may be displayed:\n']
1476,Walt Kuhn,Walt Kuhn,/wiki/File:Walt_Kuhn_2.jpg,"[""Walter Francis Kuhn (October 27, 1877 – July 13, 1949) was an American painter and an organizer of the famous Armory Show of 1913, which was America's first large-scale introduction to European Modernism.\n""]"
1477,Maurice Golubov,Maurice Golubov,/wiki/File:Wiktionary-logo-v2.svg,['Other reasons this message may be displayed:\n']
1478,Malcolm Morley,Malcolm Morley,"/wiki/File:Morley,_Tackle.jpg","['Malcolm A. Morley (June 7, 1931 – June 1, 2018) was a British-American artist and painter. He was known as an artist who pioneered in varying styles, working as a photorealist and an expressionist, among many other styles.\n']"
1479,Milton Resnick,Milton Resnick,"/wiki/File:Milton_Resnick_-_untitled_acrylic_on_paper_c._1990,_private_collection.jpg","['Milton Resnick (1917-2004) was an American artist noted for abstract paintings that coupled scale with density of incident. It was not uncommon for some of the largest paintings to weigh in excess three hundred pounds, almost all of it pigment.[2] He had a long and varied career, lasting about sixty-five years. He produced at least eight hundred canvases and eight thousand works on paper and board.[3]\n']"
1480,Alice Baber,Alice Baber,/wiki/File:Portrait_of_Artist_Alice_Baber.jpg,"[""Alice Baber (August 22, 1928 – October 2, 1982) was an American abstract expressionist painter who worked in oil and watercolor. She was educated in the United States and in the 1950s and 1960s she studied and lived in Paris. She also traveled around the world.[1] Baber, an active feminist,[2] organized exhibits of women artists' work.[1]\n""]"
1481,Gwenn Thomas,Gwenn Thomas,/wiki/File:Wiktionary-logo-v2.svg,['Other reasons this message may be displayed:\n']
1482,Warren Brandt,Warren Brandt,/wiki/File:Wiktionary-logo-v2.svg,['Other reasons this message may be displayed:\n']
1483,Dennis Ashbaugh,Dennis Ashbaugh,/wiki/File:Dennis_Ashbaugh.png,"['Dennis John Ashbaugh (born 1946 in Red Oak, Iowa) is an American painter and artist who lives and works in New York City.\n']"
1484,Roy Lichtenstein,Roy Lichtenstein,/wiki/File:Roy_Lichtenstein.jpg,"['Roy Fox Lichtenstein (/ˈlɪktənˌstaɪn/; October 27, 1923\xa0– September 29, 1997) was an American pop artist. During the 1960s, along with Andy Warhol, Jasper Johns, and James Rosenquist among others, he became a leading figure in the new art movement. His work defined the premise of pop art through parody.[2] Inspired by the comic strip, Lichtenstein produced precise compositions that documented while they parodied, often in a tongue-in-cheek manner. His work was influenced by popular advertising and the comic book style. He described pop art as ""not \'American\' painting but actually industrial painting"".[3] His paintings were exhibited at the Leo Castelli Gallery in New York City.\n']"
1485,Joan Witek,Joan Witek,/wiki/File:Wiktionary-logo-v2.svg,['Other reasons this message may be displayed:\n']
1486,Frank Bowling,Frank Bowling,unfound,"['Richard Sheridan Franklin Bowling OBE RA (born 26 February 1934), known as Frank Bowling, is a Guyana-born British artist. His paintings relate to Abstract expressionism, Color Field painting and Lyrical Abstraction.\n']"
1487,Malcolm Bailey,Malcolm Bailey,unfound,['Malcolm Roy Bailey (14 April 1950 – 14 November 2017) was an English footballer who played as a right-half.\n']
1488,John Clem Clarke,John Clem Clarke,/wiki/File:Wiktionary-logo-v2.svg,['Other reasons this message may be displayed:\n']
1489,Ed Baynard,Ed Baynard,/wiki/File:Wiktionary-logo-v2.svg,['Other reasons this message may be displayed:\n']
1490,Norman Rockwell,Norman Rockwell,/wiki/File:Rockwell-Norman-LOC.jpg,"[""Norman Percevel Rockwell (February 3, 1894 – November 8, 1978) was an American author, painter and illustrator. His works have a broad popular appeal in the United States for their reflection of American culture. Rockwell is most famous for the cover illustrations of everyday life he created for The Saturday Evening Post magazine over nearly five decades.[1] Among the best-known of Rockwell's works are the Willie Gillis series, Rosie the Riveter, The Problem We All Live With, Saying Grace, and the Four Freedoms series. He is also noted for his 64-year relationship with the Boy Scouts of America (BSA), during which he produced covers for their publication Boys' Life, calendars, and other illustrations. These works include popular images that reflect the Scout Oath and Scout Law such as The Scoutmaster, A Scout is Reverent[2] and A Guiding Hand,[3] among many others.\n""]"
